index,angle,houghAngle,houghConfidence,projectionAngle,projectionConfidence,freqHoughAngle,freqHoughConfidence
4,-4.75,-5.00,0.52,-5.00,0.82,-5.00,0.02
4,-4.50,-5.00,0.18,-5.00,0.81,-4.00,0.01
4,-4.25,-4.00,0.31,-4.00,0.81,-4.00,0.02
4,-4.00,-4.00,0.44,-4.00,0.82,-4.00,0.09
4,-3.75,-4.00,0.50,-4.00,0.82,-4.00,0.02
4,-3.50,-4.00,0.16,-4.00,0.80,-4.00,0.01
4,-3.25,-3.00,0.24,-3.00,0.81,-3.00,0.03
4,-3.00,-3.00,0.60,-3.00,0.82,-3.00,0.26
4,-2.75,-3.00,0.66,-3.00,0.81,-3.00,0.02
4,-2.50,-3.00,0.21,-2.00,0.81,-2.00,0.01
4,-2.25,-2.00,0.26,-2.00,0.80,-2.00,0.02
4,-2.00,-2.00,0.54,-2.00,0.82,-2.00,0.16
4,-1.75,-2.00,0.56,-2.00,0.83,-2.00,0.02
4,-1.50,-2.00,0.23,-2.00,0.81,-1.00,0.01
4,-1.25,-1.00,0.27,-1.00,0.81,-1.00,0.01
4,-1.00,-1.00,0.59,-1.00,0.82,-1.00,0.07
4,-0.75,-1.00,0.51,-1.00,0.83,-1.00,0.01
4,-0.50,-1.00,0.25,-0.00,0.82,-1.00,0.01
4,-0.25,0.00,0.26,-1.00,0.80,0.00,0.03
4,0.00,0.00,0.75,-0.00,0.83,0.00,1.00
4,0.25,0.00,0.57,1.00,0.80,0.00,0.02
4,0.50,0.00,0.22,-0.00,0.83,1.00,0.01
4,0.75,1.00,0.31,1.00,0.81,1.00,0.01
4,1.00,1.00,0.54,1.00,0.82,1.00,0.06
4,1.25,1.00,0.48,1.00,0.82,1.00,0.02
4,1.50,1.00,0.20,1.00,0.81,1.00,0.01
4,1.75,2.00,0.26,2.00,0.81,2.00,0.01
4,2.00,2.00,0.83,2.00,0.82,2.00,0.25
4,2.25,2.00,0.47,2.00,0.82,2.00,0.02
4,2.50,2.00,0.17,2.00,0.81,2.00,0.01
4,2.75,3.00,0.25,3.00,0.80,3.00,0.02
4,3.00,3.00,0.56,3.00,0.82,3.00,0.21
4,3.25,3.00,0.51,3.00,0.82,3.00,0.05
4,3.50,3.00,0.22,3.00,0.81,3.00,0.01
4,3.75,4.00,0.35,4.00,0.81,4.00,0.01
4,4.00,4.00,0.60,4.00,0.82,4.00,0.04
4,4.25,4.00,0.55,4.00,0.82,4.00,0.02
4,4.50,4.00,0.20,4.00,0.81,4.00,0.01
4,4.75,5.00,0.28,5.00,0.81,5.00,0.02
4,5.00,5.00,0.55,5.00,0.82,5.00,0.30
4,5.25,5.00,0.38,5.00,0.82,5.00,0.03
4,5.50,5.00,0.16,5.00,0.80,5.00,0.01
4,5.75,6.00,0.22,6.00,0.81,6.00,0.01
4,6.00,6.00,0.44,6.00,0.82,6.00,0.20
4,6.25,6.00,0.54,6.00,0.82,6.00,0.05
4,6.50,6.00,0.18,6.00,0.80,6.00,0.01
4,6.75,7.00,0.30,7.00,0.81,7.00,0.01
4,7.00,7.00,0.50,7.00,0.81,7.00,0.27
4,7.25,7.00,0.42,7.00,0.82,7.00,0.04
4,7.50,7.00,0.19,7.00,0.81,8.00,0.01
4,7.75,8.00,0.18,8.00,0.81,8.00,0.01
4,8.00,8.00,0.48,8.00,0.82,8.00,0.23
4,8.25,8.00,0.51,8.00,0.82,8.00,0.04
4,8.50,8.00,0.24,8.00,0.81,8.00,0.01
4,8.75,9.00,0.24,9.00,0.81,9.00,0.02
4,9.00,9.00,0.46,9.00,0.82,9.00,0.12
4,9.25,9.00,0.47,9.00,0.82,9.00,0.02
4,9.50,10.00,0.11,9.00,0.81,9.00,0.01
4,9.75,10.00,0.26,10.00,0.81,10.00,0.02
4,10.00,10.00,0.56,10.00,0.82,10.00,0.28
5,-10.00,-10.00,0.73,-10.00,0.87,-10.00,0.06
5,-9.75,-10.00,0.07,-10.00,0.84,-10.00,0.06
5,-9.50,-9.00,0.05,-9.00,0.83,-9.00,0.05
5,-9.25,-9.00,0.17,-9.00,0.86,-9.00,0.03
5,-9.00,-9.00,0.43,-9.00,0.86,-9.00,0.08
5,-8.75,-9.00,0.09,-9.00,0.84,-9.00,0.05
5,-8.50,-8.00,0.04,-8.00,0.83,-8.00,0.04
