imageNr,imageAngle,thetaHough,confidenceHough,thetaFourier,confidenceFourier,thetaProj,confidenceProj,
2,2.600000,3.000001,0.997955,2.000000,0.992981,3.000000,0.973492,
2,2.500000,3.000001,0.996666,2.000000,0.992319,3.000000,0.969371,
2,2.400000,1.999999,0.997587,2.000000,0.992640,2.000000,0.971458,
2,2.300000,1.999999,0.998843,2.000000,0.992150,2.000000,0.979753,
2,2.200000,1.999999,1.000000,2.000000,0.994967,2.000000,0.979282,
2,2.100000,1.999999,1.000000,0.999992,0.997847,2.000000,0.984291,
2,2.000000,1.999999,1.000000,0.999992,0.997836,2.000000,0.984564,
2,1.900000,1.999999,1.000000,0.999992,0.998140,2.000000,0.984596,
2,1.800000,1.999999,1.000000,2.000000,0.998789,2.000000,0.984999,
2,1.700000,1.999999,0.999498,2.000000,0.995278,2.000000,0.982017,
2,1.600000,1.999999,0.997777,2.000000,0.992490,2.000000,0.972119,
2,1.500000,1.999999,0.995519,2.000000,0.993217,2.000000,0.968055,
2,1.400000,0.999996,0.997941,2.000000,0.998356,1.000000,0.976814,
2,1.300000,0.999996,0.999089,2.000000,0.998147,1.000000,0.975928,
2,1.200000,0.999996,1.000000,2.000000,0.997334,1.000000,0.979382,
2,1.100000,0.999996,1.000000,2.000000,0.996128,1.000000,0.983791,
2,1.000000,0.999996,1.000000,2.000000,0.994359,1.000000,0.981252,
2,0.900000,-1.000000,1.000000,-2.000000,0.997204,-1.000000,0.984525,
2,0.800000,-1.000000,1.000000,-2.000000,0.997660,-1.000000,0.980159,
2,0.700000,-1.000000,0.998915,-2.000000,0.996503,0.000000,0.979128,
2,0.600000,-1.000000,0.997920,-2.000000,0.995544,-1.000000,0.977210,
2,0.500000,0.000003,0.996038,0.000000,0.999286,0.000000,0.971087,
2,0.400000,0.000003,0.997822,0.000000,0.999141,0.000000,0.977714,
2,0.300000,0.000003,0.999597,0.000000,1.000000,0.000000,0.981566,
2,0.200000,0.000003,1.000000,0.000000,1.000000,0.000000,0.986180,
2,0.100000,0.000003,1.000000,0.000000,0.999771,0.000000,0.985110,
2,0.000000,0.000003,1.000000,0.000000,0.999296,0.000000,0.987680,
2,-0.100000,0.000003,1.000000,0.000000,0.999771,0.000000,0.985110,
2,-0.200000,0.000003,1.000000,0.000000,1.000000,0.000000,0.986180,
2,-0.300000,0.000003,0.999597,0.000000,1.000000,0.000000,0.981566,
2,-0.400000,0.000003,0.997822,0.000000,0.999141,0.000000,0.977714,
2,-0.500000,0.000003,0.996038,0.000000,0.999286,0.000000,0.971087,
2,-0.600000,-1.000000,0.997920,-2.000000,0.995544,-1.000000,0.977210,
2,-0.700000,-1.000000,0.998915,-2.000000,0.996503,0.000000,0.979128,
2,-0.800000,-1.000000,1.000000,-2.000000,0.997660,-1.000000,0.980159,
2,-0.900000,-1.000000,1.000000,-2.000000,0.997204,-1.000000,0.984525,
2,-1.000000,-1.000000,1.000000,-2.000000,0.997868,-1.000000,0.983402,
2,-1.100000,-1.000000,1.000000,-1.000000,0.999171,-1.000000,0.985825,
2,-1.200000,-1.000000,1.000000,-1.000000,0.999154,-1.000000,0.981105,
2,-1.300000,-1.000000,0.999859,-2.000000,0.999582,-1.000000,0.977775,
2,-1.400000,-1.000000,0.998079,-2.000000,0.999650,-1.000000,0.970464,
2,-1.500000,-2.000003,0.995676,-2.000000,0.996735,-2.000000,0.970064,
2,-1.600000,-2.000003,0.997889,-2.000000,0.996956,-1.000000,0.969409,
2,-1.700000,-2.000003,0.999171,-2.000000,0.996417,-2.000000,0.973694,
2,-1.800000,-2.000003,1.000000,-2.000000,0.998472,-2.000000,0.979973,
2,-1.900000,-2.000003,1.000000,-2.000000,0.997342,-2.000000,0.981603,
2,-2.000000,-2.000003,1.000000,-2.000000,0.995971,-2.000000,0.985907,
2,-2.100000,-2.000003,1.000000,-2.000000,0.995264,-2.000000,0.982533,
2,-2.200000,-2.000003,1.000000,-2.000000,0.993955,-2.000000,0.978862,
2,-2.300000,-2.000003,0.999495,-2.000000,0.992233,-2.000000,0.975422,
2,-2.400000,-2.000003,0.997797,-3.000008,0.985866,-2.000000,0.966767,
2,-2.500000,-2.000003,0.997273,-2.000000,0.990043,-2.000000,0.972505,
2,-2.600000,-3.000006,0.997965,-3.000008,0.983910,-3.000000,0.971480,
2,-2.700000,-3.000006,0.999473,-3.000008,0.993204,-3.000000,0.976214,
2,-2.800000,-3.000006,1.000000,-3.000008,0.992967,-3.000000,0.978857,
2,-2.900000,-3.000006,1.000000,-3.000008,0.998237,-3.000000,0.983058,
2,-3.000000,-3.000006,1.000000,-4.000000,0.997448,-3.000000,0.983932,
2,-3.100000,-3.000006,1.000000,-4.000000,0.992074,-3.000000,0.981963,
2,-3.200000,-3.000006,1.000000,-4.000000,0.989544,-3.000000,0.979102,
2,-3.300000,-3.000006,0.999289,-4.000000,0.986152,-3.000000,0.974634,
