index,angle,houghAngle,houghConfidence,projectionAngle,projectionConfidence,freqHoughAngle,freqHoughConfidence
4,-5.25,-5.00,1.00,-5.00,0.23,-5.00,1.00
4,-5.00,-5.00,1.00,-5.00,0.29,-5.00,1.00
4,-4.75,-5.00,1.00,-5.00,0.28,-5.00,1.00
4,-4.50,-5.00,1.00,-5.00,0.22,-4.00,0.52
4,-4.25,-4.00,1.00,-4.00,0.24,-4.00,1.00
4,-4.00,-4.00,1.00,-4.00,0.29,-4.00,1.00
4,-3.75,-4.00,1.00,-4.00,0.28,-4.00,1.00
4,-3.50,-4.00,0.54,-4.00,0.22,-4.00,0.52
4,-3.25,-3.00,1.00,-3.00,0.25,-3.00,1.00
4,-3.00,-3.00,1.00,-3.00,0.27,-3.00,1.00
4,-2.75,-3.00,1.00,-3.00,0.25,-3.00,1.00
4,-2.50,-3.00,1.00,-2.00,0.23,-2.00,0.45
4,-2.25,-2.00,1.00,-2.00,0.22,-2.00,1.00
4,-2.00,-2.00,1.00,-2.00,0.28,-2.00,1.00
4,-1.75,-2.00,1.00,-2.00,0.32,-2.00,1.00
4,-1.50,-2.00,0.70,-2.00,0.25,-1.00,0.51
4,-1.25,-1.00,1.00,-1.00,0.26,-1.00,1.00
4,-1.00,-1.00,1.00,-1.00,0.29,-1.00,1.00
4,-0.75,-1.00,1.00,-1.00,0.31,-1.00,0.64
4,-0.50,-1.00,0.69,-0.00,0.30,-1.00,0.51
4,-0.25,0.00,1.00,-1.00,0.22,0.00,1.00
4,0.00,0.00,1.00,-0.00,0.34,0.00,1.00
4,0.25,0.00,1.00,1.00,0.18,0.00,1.00
4,0.50,0.00,0.70,-0.00,0.33,1.00,0.50
4,0.75,1.00,1.00,1.00,0.24,1.00,1.00
4,1.00,1.00,1.00,1.00,0.28,1.00,1.00
4,1.25,1.00,1.00,1.00,0.30,1.00,1.00
4,1.50,1.00,0.70,1.00,0.23,1.00,0.45
4,1.75,2.00,1.00,2.00,0.26,2.00,0.61
4,2.00,2.00,1.00,2.00,0.29,2.00,1.00
4,2.25,2.00,1.00,2.00,0.28,2.00,1.00
4,2.50,2.00,0.70,2.00,0.24,2.00,0.46
4,2.75,3.00,1.00,3.00,0.21,3.00,1.00
4,3.00,3.00,1.00,3.00,0.27,3.00,1.00
4,3.25,3.00,1.00,3.00,0.27,3.00,1.00
4,3.50,3.00,1.00,3.00,0.24,3.00,0.50
4,3.75,4.00,1.00,4.00,0.24,4.00,1.00
4,4.00,4.00,1.00,4.00,0.29,4.00,1.00
4,4.25,4.00,1.00,4.00,0.27,4.00,1.00
4,4.50,4.00,0.54,4.00,0.24,4.00,0.45
4,4.75,5.00,1.00,5.00,0.23,5.00,1.00
4,5.00,5.00,1.00,5.00,0.30,5.00,1.00
4,5.25,5.00,1.00,5.00,0.27,5.00,1.00
4,5.50,5.00,0.69,5.00,0.21,5.00,0.56
4,5.75,6.00,1.00,6.00,0.23,6.00,1.00
4,6.00,6.00,1.00,6.00,0.26,6.00,1.00
4,6.25,6.00,1.00,6.00,0.29,6.00,1.00
4,6.50,6.00,0.70,6.00,0.21,6.00,0.51
4,6.75,7.00,1.00,7.00,0.24,7.00,1.00
4,7.00,7.00,1.00,7.00,0.25,7.00,1.00
4,7.25,7.00,1.00,7.00,0.26,7.00,1.00
4,7.50,7.00,0.68,7.00,0.23,8.00,0.50
4,7.75,8.00,1.00,8.00,0.23,8.00,0.55
4,8.00,8.00,1.00,8.00,0.28,8.00,1.00
4,8.25,8.00,1.00,8.00,0.27,8.00,1.00
4,8.50,8.00,0.70,8.00,0.22,8.00,0.52
4,8.75,9.00,1.00,9.00,0.24,9.00,1.00
4,9.00,9.00,1.00,9.00,0.27,9.00,1.00
4,9.25,9.00,1.00,9.00,0.27,9.00,1.00
4,9.50,10.00,0.34,9.00,0.23,9.00,0.45
4,9.75,10.00,1.00,10.00,0.24,10.00,1.00
4,10.00,10.00,1.00,10.00,0.29,10.00,1.00
5,-10.00,-10.00,1.00,-10.00,0.47,-10.00,1.00
5,-9.75,-10.00,1.00,-10.00,0.35,-10.00,1.00
5,-9.50,-9.00,0.44,-9.00,0.31,-9.00,0.67
5,-9.25,-9.00,1.00,-9.00,0.42,-9.00,1.00
5,-9.00,-9.00,1.00,-9.00,0.44,-9.00,1.00
5,-8.75,-9.00,1.00,-9.00,0.35,-9.00,1.00
5,-8.50,-8.00,0.46,-8.00,0.31,-8.00,0.61
