index,angle,houghAngle,projectionAngle,freqHoughAngle
4,-9.50,-10.00,-10.00,-9.00
4,-9.25,-9.00,-9.00,-9.00
4,-9.00,-9.00,-9.00,-9.00
4,-8.75,-9.00,-9.00,-9.00
4,-8.50,-9.00,-9.00,-8.00
4,-8.25,-8.00,-8.00,-8.00
4,-8.00,-8.00,-8.00,-8.00
4,-7.75,-8.00,-8.00,-8.00
4,-7.50,-7.00,-8.00,-8.00
4,-7.25,-7.00,-7.00,-7.00
4,-7.00,-7.00,-7.00,-7.00
4,-6.75,-7.00,-7.00,-7.00
4,-6.50,-6.00,-7.00,-7.00
4,-6.25,-6.00,-6.00,-6.00
4,-6.00,-6.00,-6.00,-6.00
4,-5.75,-6.00,-6.00,-6.00
4,-5.50,-6.00,-6.00,-6.00
4,-5.25,-5.00,-5.00,-5.00
4,-5.00,-5.00,-5.00,-5.00
4,-4.75,-5.00,-5.00,-5.00
4,-4.50,-5.00,-5.00,-4.00
4,-4.25,-4.00,-4.00,-4.00
4,-4.00,-4.00,-4.00,-4.00
4,-3.75,-4.00,-4.00,-4.00
4,-3.50,-4.00,-4.00,-4.00
4,-3.25,-3.00,-3.00,-3.00
4,-3.00,-3.00,-3.00,-3.00
4,-2.75,-3.00,-3.00,-3.00
4,-2.50,-3.00,-2.00,-2.00
4,-2.25,-2.00,-2.00,-2.00
4,-2.00,-2.00,-2.00,-2.00
4,-1.75,-2.00,-2.00,-2.00
4,-1.50,-2.00,-2.00,-1.00
4,-1.25,-1.00,-1.00,-1.00
4,-1.00,-1.00,-1.00,-1.00
4,-0.75,-1.00,-1.00,-1.00
4,-0.50,-1.00,-0.00,-1.00
4,-0.25,0.00,-1.00,0.00
4,0.00,0.00,-0.00,0.00
4,0.25,0.00,1.00,0.00
4,0.50,0.00,-0.00,1.00
4,0.75,1.00,1.00,1.00
4,1.00,1.00,1.00,1.00
4,1.25,1.00,1.00,1.00
4,1.50,1.00,1.00,1.00
4,1.75,2.00,2.00,2.00
4,2.00,2.00,2.00,2.00
4,2.25,2.00,2.00,2.00
4,2.50,2.00,2.00,2.00
4,2.75,3.00,3.00,3.00
4,3.00,3.00,3.00,3.00
4,3.25,3.00,3.00,3.00
4,3.50,3.00,3.00,3.00
4,3.75,4.00,4.00,4.00
4,4.00,4.00,4.00,4.00
4,4.25,4.00,4.00,4.00
4,4.50,4.00,4.00,4.00
4,4.75,5.00,5.00,5.00
4,5.00,5.00,5.00,5.00
4,5.25,5.00,5.00,5.00
4,5.50,5.00,5.00,5.00
4,5.75,6.00,6.00,6.00
4,6.00,6.00,6.00,6.00
4,6.25,6.00,6.00,6.00
4,6.50,6.00,6.00,6.00
4,6.75,7.00,7.00,7.00
4,7.00,7.00,7.00,7.00
4,7.25,7.00,7.00,7.00
4,7.50,7.00,7.00,8.00
4,7.75,8.00,8.00,8.00
4,8.00,8.00,8.00,8.00
4,8.25,8.00,8.00,8.00
4,8.50,8.00,8.00,8.00
4,8.75,9.00,9.00,9.00
4,9.00,9.00,9.00,9.00
4,9.25,9.00,9.00,9.00
4,9.50,10.00,9.00,9.00
4,9.75,10.00,10.00,10.00
4,10.00,10.00,10.00,10.00
5,-10.00,-10.00,-10.00,-10.00
5,-9.75,-10.00,-10.00,-10.00
5,-9.50,-9.00,-9.00,-9.00
5,-9.25,-9.00,-9.00,-9.00
5,-9.00,-9.00,-9.00,-9.00
5,-8.75,-9.00,-9.00,-9.00
5,-8.50,-8.00,-8.00,-8.00
5,-8.25,-8.00,-8.00,-8.00
5,-8.00,-8.00,-8.00,-8.00
5,-7.75,-8.00,-8.00,-8.00
5,-7.50,-7.00,-7.00,-8.00
5,-7.25,-7.00,-7.00,-7.00
5,-7.00,-7.00,-7.00,-7.00
5,-6.75,-7.00,-7.00,-7.00
5,-6.50,-6.00,-6.00,-6.00
5,-6.25,-6.00,-6.00,-6.00
5,-6.00,-6.00,-6.00,-6.00
5,-5.75,-6.00,-6.00,-6.00
5,-5.50,-5.00,-5.00,-6.00
5,-5.25,-5.00,-5.00,-5.00
5,-5.00,-5.00,-5.00,-5.00
5,-4.75,-5.00,-5.00,-5.00
5,-4.50,-4.00,-4.00,-4.00
5,-4.25,-4.00,-4.00,-4.00
5,-4.00,-4.00,-4.00,-4.00
5,-3.75,-4.00,-4.00,-4.00
5,-3.50,-4.00,-3.00,-3.00
5,-3.25,-3.00,-3.00,-3.00
5,-3.00,-3.00,-3.00,-3.00
5,-2.75,-3.00,-3.00,-3.00
5,-2.50,-2.00,-2.00,-2.00
5,-2.25,-2.00,-2.00,-2.00
5,-2.00,-2.00,-2.00,-2.00
5,-1.75,-2.00,-2.00,-2.00
5,-1.50,-1.00,-1.00,-1.00
5,-1.25,-1.00,-1.00,-1.00
5,-1.00,-1.00,-1.00,-1.00
5,-0.75,-1.00,-1.00,-1.00
5,-0.50,0.00,-0.00,-1.00
5,-0.25,0.00,-1.00,0.00
5,0.00,0.00,-0.00,0.00
5,0.25,0.00,1.00,0.00
5,0.50,1.00,-0.00,0.00
5,0.75,1.00,1.00,1.00
5,1.00,1.00,1.00,1.00
5,1.25,1.00,1.00,1.00
5,1.50,2.00,2.00,1.00
